key,artist,song,duration_ms,Length (Minutes.Seconds),explicit,year,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,genre,Cleaned genre,Location
Attribute,Taylor Swift,...Ready For It?,208186,3.28,FALSE,2017,73,0.613,0.764,2,-6.509,1,0.136,0.0527,0,0.197,0.417,160.015,pop,pop,US
Attribute,David Guetta,2U (feat. Justin Bieber),194896,3.15,FALSE,2017,67,0.548,0.65,8,-5.827,0,0.0591,0.219,0,0.225,0.557,144.937,"hip hop, pop, Dance/Electronic",hip hop,FR
Attribute,Migos,Slippery (feat. Gucci Mane),304041,5.04,TRUE,2017,68,0.92,0.675,1,-5.661,0,0.263,0.307,0,0.104,0.749,141.967,"hip hop, pop",hip hop,US
Attribute,G-Eazy,Good Life (with G-Eazy & Kehlani),225520,3.46,FALSE,2017,63,0.572,0.778,1,-5.208,1,0.233,0.00638,0,0.0563,0.54,168.073,"hip hop, pop",hip hop,US
Attribute,The Vamps,All Night,197640,3.18,FALSE,2017,73,0.538,0.804,8,-5.194,1,0.0358,0.0041,0,0.33,0.507,144.992,pop,pop,GB
Attribute,Dua Lipa,New Rules,212000,3.32,FALSE,2017,61,0.763,0.72,9,-5.181,0,0.0691,0.00261,1.11E-05,0.114,0.592,116.01,pop,pop,GB
Attribute,Cardi B,Bodak Yellow,223962,3.44,TRUE,2017,59,0.929,0.723,11,-5.792,0,0.109,0.0672,0,0.346,0.458,125.022,"hip hop, pop",hip hop,US
Attribute,Rag'n'Bone Man,Skin,239626,3.6,FALSE,2017,67,0.564,0.745,0,-7.733,1,0.31,0.265,0,0.147,0.351,170.661,R&B,R&B,GB
Attribute,Zara Larsson,I Would Like,226720,3.47,FALSE,2017,57,0.486,0.713,2,-3.949,0,0.0524,0.0853,0,0.0839,0.297,121.028,"pop, Dance/Electronic",pop,SE
Attribute,DJ Khaled,Wild Thoughts (feat. Rihanna & Bryson Tiller),204173,3.24,TRUE,2017,72,0.671,0.672,0,-3.094,0,0.0688,0.0329,0,0.118,0.632,97.979,"hip hop, pop",hip hop,US
Attribute,Post Malone,Congratulations,220293,3.4,TRUE,2016,81,0.63,0.804,6,-4.183,1,0.0363,0.215,0,0.253,0.492,123.146,hip hop,hip hop,US
Attribute,Avicii,Without You (feat. Sandro Cavazza),181672,3.02,TRUE,2017,77,0.662,0.858,2,-4.844,1,0.0428,0.00163,0,0.0456,0.295,133.993,"pop, Dance/Electronic",pop,SE
Attribute,Katy Perry,Chained To The Rhythm,237733,3.58,FALSE,2017,69,0.562,0.8,0,-5.404,1,0.112,0.0814,0,0.199,0.471,95.029,pop,pop,US
Attribute,Calvin Harris,"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",223413,3.43,TRUE,2017,79,0.893,0.745,11,-3.105,0,0.0571,0.0642,0,0.0943,0.872,101.018,"hip hop, pop, Dance/Electronic",hip hop,GB
Attribute,Migos,T-Shirt,242407,4.02,TRUE,2017,64,0.865,0.687,10,-3.744,0,0.217,0.242,0,0.158,0.486,139.023,"hip hop, pop",hip hop,US
Attribute,OneRepublic,Rich Love (with Seeb),201256,3.21,FALSE,2017,64,0.401,0.872,1,-3.641,0,0.314,0.167,0,0.362,0.472,104.592,pop,pop,US
Attribute,Maggie Lindemann,Pretty Girl - Cheat Codes X CADE Remix,193613,3.14,TRUE,2017,61,0.703,0.868,7,-4.661,0,0.0291,0.15,0.132,0.104,0.733,121.03,"rock, pop",rock,US
Attribute,Macklemore,Glorious (feat. Skylar Grey),220454,3.4,TRUE,2017,74,0.731,0.794,0,-5.126,0,0.0522,0.0323,2.59E-05,0.112,0.356,139.994,"hip hop, pop",hip hop,US
Attribute,Hayden James,NUMB,217296,3.37,TRUE,2019,47,0.617,0.558,10,-7.046,0,0.0431,0.184,1.03E-06,0.0911,0.4,147.932,"pop, Dance/Electronic",pop,AU
Attribute,Liam Payne,Strip That Down,204502,3.25,FALSE,2017,1,0.869,0.485,6,-5.595,1,0.0545,0.246,0,0.0765,0.527,106.028,pop,pop,GB
Attribute,Alessia Cara,Scars To Your Beautiful,230226,3.5,FALSE,2016,76,0.319,0.739,0,-5.74,1,0.272,0.0285,0,0.111,0.449,194.169,"pop, R&B",pop,CA
Attribute,2 Chainz,It's A Vibe,210200,3.3,TRUE,2017,71,0.822,0.502,7,-7.38,1,0.148,0.0312,0.000887,0.114,0.525,73.003,"hip hop, pop",hip hop,US
Attribute,Starley,Call on Me - Ryan Riback Remix,222040,3.42,FALSE,2016,48,0.67,0.838,0,-4.031,1,0.0362,0.0605,0.000611,0.159,0.716,105,"pop, Dance/Electronic",pop,AU
Attribute,The Vamps,Middle Of The Night,174600,2.55,FALSE,2017,61,0.588,0.749,11,-4.323,0,0.058,0.0037,0,0.0813,0.397,130.093,pop,pop,GB
Attribute,The Weeknd,I Feel It Coming,269186,4.29,FALSE,2016,78,0.773,0.819,0,-5.946,0,0.118,0.428,0,0.0679,0.585,92.987,"pop, R&B",pop,CA
Attribute,The Chainsmokers,Paris,221506,3.42,FALSE,2017,73,0.653,0.658,2,-6.428,1,0.0304,0.0215,1.66E-06,0.0939,0.219,99.99,"pop, Dance/Electronic",pop,US
Attribute,Big Sean,Bounce Back,222360,3.42,TRUE,2017,71,0.78,0.575,1,-5.628,0,0.139,0.106,0,0.129,0.273,81.502,"hip hop, pop",hip hop,US
Attribute,Avicii,Lonely Together (feat. Rita Ora),181812,3.02,FALSE,2017,53,0.655,0.666,5,-5.309,1,0.0612,0.134,2.12E-05,0.0683,0.272,102.977,"pop, Dance/Electronic",pop,SE
Attribute,Cheat Codes,No Promises (feat. Demi Lovato),223503,3.44,FALSE,2017,68,0.741,0.667,10,-5.445,1,0.134,0.0575,0,0.106,0.595,112.956,"pop, Dance/Electronic",pop,US
Attribute,Bruno Mars,24K Magic,225983,3.46,FALSE,2016,78,0.818,0.803,1,-4.282,1,0.0797,0.034,0,0.153,0.632,106.97,pop,pop,US
Attribute,Lorde,Homemade Dynamite - REMIX,214254,3.34,TRUE,2017,8,0.781,0.548,0,-4.997,0,0.0764,0.229,0,0.127,0.175,106.996,"pop, Dance/Electronic",pop,NZ
Attribute,Kygo,It Ain't Me (with Selena Gomez),220780,3.41,FALSE,2017,75,0.64,0.533,0,-6.596,1,0.0706,0.119,0,0.0864,0.515,99.968,"pop, Dance/Electronic",pop,NO
Attribute,Drake,God's Plan,198973,3.19,TRUE,2018,81,0.754,0.449,7,-9.211,1,0.109,0.0332,8.29E-05,0.552,0.357,77.169,"hip hop, pop, R&B",hip hop,CA
Attribute,Post Malone,rockstar (feat. 21 Savage),218146,3.38,TRUE,2018,83,0.585,0.52,5,-6.136,0,0.0712,0.124,7.01E-05,0.131,0.129,159.801,hip hop,hip hop,US
Attribute,Offset,Ric Flair Drip (with Metro Boomin),172800,2.53,TRUE,2017,80,0.88,0.428,9,-8.28,1,0.206,0.149,5.05E-05,0.114,0.333,100.007,"hip hop, pop",hip hop,US
Attribute,G-Eazy,Him & I (with Halsey),268866,4.29,TRUE,2017,75,0.589,0.731,2,-6.343,1,0.0868,0.0534,0,0.308,0.191,87.908,"hip hop, pop",hip hop,US
Attribute,Juice WRLD,Lucid Dreams,239835,3.6,TRUE,2018,84,0.511,0.566,6,-7.23,0,0.2,0.349,0,0.34,0.218,83.903,hip hop,hip hop,US
Attribute,Zedd,The Middle,184732,3.05,FALSE,2018,80,0.753,0.657,7,-3.061,1,0.0449,0.171,0,0.112,0.437,107.01,"hip hop, pop, Dance/Electronic",hip hop,DE
Attribute,Marshmello,FRIENDS,202620,3.23,TRUE,2018,78,0.626,0.88,9,-2.384,0,0.0504,0.205,0,0.128,0.534,95.079,"pop, Dance/Electronic",pop,US
Attribute,Cardi B,I Like It,253390,4.13,TRUE,2018,79,0.816,0.726,5,-3.998,0,0.129,0.099,0,0.372,0.65,136.048,"hip hop, pop",hip hop,US
Attribute,XXXTENTACION,Moonlight,135090,2.15,TRUE,2018,82,0.921,0.537,9,-5.723,0,0.0804,0.556,0.00404,0.102,0.711,128.009,hip hop,hip hop,US
Attribute,Ariana Grande,no tears left to cry,205920,3.26,FALSE,2018,77,0.699,0.713,9,-5.507,0,0.0594,0.04,3.11E-06,0.294,0.354,121.993,pop,pop,US
Attribute,Sheck Wes,Mo Bamba,183906,3.04,TRUE,2018,77,0.729,0.625,4,-5.266,1,0.0315,0.194,0.00986,0.248,0.261,146.034,hip hop,hip hop,US
Attribute,Calvin Harris,One Kiss (with Dua Lipa),214846,3.35,FALSE,2018,81,0.791,0.862,9,-3.24,0,0.11,0.037,2.19E-05,0.0814,0.592,123.994,"hip hop, pop, Dance/Electronic",hip hop,GB
Attribute,Tyga,Taste (feat. Offset),232959,3.53,TRUE,2018,73,0.884,0.559,0,-7.442,1,0.12,0.0236,0,0.101,0.342,97.994,"hip hop, pop",hip hop,US
Attribute,Travis Scott,SICKO MODE,312820,5.13,TRUE,2018,81,0.834,0.73,8,-3.714,1,0.222,0.00513,0,0.124,0.446,155.008,"hip hop, Dance/Electronic",hip hop,US
Attribute,Imagine Dragons,Natural,189466,3.09,FALSE,2018,80,0.704,0.611,2,-6.112,1,0.0409,0.217,0,0.0812,0.22,100,rock,rock,US
Attribute,DJ Snake,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",212500,3.33,TRUE,2018,76,0.842,0.801,8,-4.167,0,0.228,0.157,4.82E-06,0.0642,0.617,95.881,"hip hop, pop, Dance/Electronic",hip hop,FR
Attribute,Marshmello,Spotlight,177600,2.58,FALSE,2018,71,0.546,0.822,7,-4.483,1,0.151,0.0145,0,0.742,0.615,150.06,"pop, Dance/Electronic",pop,US
Attribute,The Weeknd,Pray For Me (with Kendrick Lamar),211440,3.31,TRUE,2018,69,0.735,0.677,2,-4.979,1,0.093,0.0762,2.17E-05,0.111,0.188,100.584,"pop, R&B",pop,CA
Attribute,Billie Eilish,lovely (with Khalid),200185,3.2,FALSE,2018,86,0.351,0.296,4,-10.109,0,0.0333,0.934,0,0.095,0.12,115.284,"pop, Dance/Electronic",pop,US
Attribute,Migos,Walk It Talk It,276147,4.36,TRUE,2018,75,0.907,0.633,2,-5.145,1,0.184,0.0876,2.60E-06,0.106,0.395,145.914,"hip hop, pop",hip hop,US
Attribute,Clean Bandit,Solo (feat. Demi Lovato),222653,3.43,FALSE,2018,71,0.737,0.636,11,-4.546,0,0.0437,0.0441,6.66E-05,0.35,0.565,105.005,"pop, Dance/Electronic",pop,GB
Attribute,Drake,Nonstop,238614,3.59,TRUE,2018,77,0.912,0.412,7,-8.074,1,0.123,0.0165,0.0126,0.104,0.423,154.983,"hip hop, pop, R&B",hip hop,CA
Attribute,6ix9ine,FEFE,179404,2.59,TRUE,2018,42,0.931,0.387,1,-9.127,1,0.412,0.088,0,0.136,0.376,125.978,hip hop,hip hop,US
Attribute,The Weeknd,Call Out My Name,228373,3.48,FALSE,2018,80,0.461,0.593,1,-4.954,1,0.0356,0.17,0,0.307,0.175,134.17,"pop, R&B",pop,CA
Attribute,Nio Garcia,Te BotÃ© - Remix,417920,6.58,TRUE,2018,76,0.903,0.675,11,-3.445,0,0.214,0.542,1.28E-05,0.0595,0.442,96.507,latin,latin,PR
Attribute,Migos,MotorSport,303076,5.03,TRUE,2018,72,0.904,0.518,2,-5.32,1,0.183,0.0305,0,0.325,0.188,137.996,"hip hop, pop",hip hop,US
Attribute,Nicky Jam,X,172854,2.53,FALSE,2019,74,0.594,0.749,9,-5.298,0,0.056,0.0338,0.00106,0.3,0.694,179.968,latin,latin,PR
Attribute,XXXTENTACION,SAD!,166605,2.47,TRUE,2018,82,0.74,0.613,8,-4.88,1,0.145,0.258,0.00372,0.123,0.473,75.023,hip hop,hip hop,US
Attribute,Becky G,Sin Pijama,188560,3.09,FALSE,2018,69,0.791,0.745,11,-3.695,0,0.0464,0.354,2.93E-05,0.104,0.82,94.014,"pop, latin",pop,US
Attribute,Machine Gun Kelly,"Home (with Machine Gun Kelly, X Ambassadors & Bebe Rexha)",202804,3.23,FALSE,2017,71,0.653,0.718,3,-5.232,0,0.213,0.00413,0,0.0537,0.216,82.034,"hip hop, pop",hip hop,US
Attribute,6ix9ine,GUMMO,157643,2.38,TRUE,2018,63,0.66,0.775,2,-4.926,1,0.172,0.0553,0,0.129,0.635,157.036,hip hop,hip hop,US
Attribute,Jax Jones,Breathe,207629,3.28,FALSE,2017,58,0.722,0.744,11,-5.52,0,0.0363,0.0234,0.000157,0.143,0.686,125.985,"hip hop, pop, Dance/Electronic",hip hop,GB
Attribute,The Chainsmokers,Sick Boy,193200,3.13,FALSE,2018,69,0.663,0.577,11,-7.518,0,0.0531,0.109,0,0.12,0.454,89.996,"pop, Dance/Electronic",pop,US
Attribute,Jay Rock,"King's Dead (with Kendrick Lamar, Future & James Blake)",229670,3.5,TRUE,2018,71,0.645,0.705,1,-5.008,1,0.299,0.000813,0,0.128,0.376,137.133,"hip hop, pop",hip hop,US
Attribute,Rich The Kid,Plug Walk,175229,2.55,TRUE,2018,72,0.876,0.519,11,-6.531,1,0.143,0.202,0,0.108,0.158,94.981,"hip hop, pop",hip hop,US
Attribute,Kendrick Lamar,All The Stars (with SZA),232186,3.52,TRUE,2018,80,0.698,0.633,8,-4.946,1,0.0597,0.0605,0.000194,0.0926,0.552,96.924,hip hop,hip hop,US
Attribute,Logic,Everyday,204746,3.25,TRUE,2018,69,0.667,0.741,1,-4.099,1,0.0378,0.0425,0,0.0761,0.422,149.908,"hip hop, pop",hip hop,US
Attribute,Jason Derulo,Tip Toe (feat. French Montana),187521,3.08,FALSE,2017,64,0.845,0.709,10,-4.547,0,0.0714,0.0233,0,0.094,0.62,98.062,"hip hop, pop",hip hop,US
Attribute,Ariana Grande,God is a woman,197546,3.18,TRUE,2018,78,0.602,0.658,1,-5.934,1,0.0558,0.0233,6.00E-05,0.237,0.268,145.031,pop,pop,US
Attribute,Rae Sremmurd,Powerglide (feat. Juicy J) - From SR3MM,332300,5.32,TRUE,2018,66,0.713,0.831,1,-4.75,0,0.15,0.0168,0,0.118,0.584,173.948,"hip hop, pop",hip hop,US
Attribute,EO,German,170825,2.51,FALSE,2018,67,0.862,0.583,8,-6.26,0,0.0654,0.811,1.86E-05,0.191,0.852,103.019,set(),set(),US
Attribute,Dennis Lloyd,Nevermind,156600,2.37,FALSE,2017,74,0.6,0.688,5,-8.339,0,0.201,0.159,1.29E-05,0.409,0.0793,99.977,pop,pop,IL
Attribute,Selena Gomez,Wolves,197993,3.18,FALSE,2017,78,0.724,0.804,11,-4.614,0,0.0448,0.124,0,0.204,0.306,124.987,pop,pop,US
Attribute,TiÃ«sto,Jackie Chan,215759,3.36,TRUE,2018,72,0.747,0.834,3,-2.867,0,0.045,0.374,0,0.0586,0.687,128.005,"pop, Dance/Electronic",pop,NL
Attribute,Tom Walker,Leave a Light On,185863,3.06,FALSE,2017,70,0.586,0.624,5,-5.946,1,0.113,0.0153,1.78E-06,0.133,0.267,68.976,"rock, pop",rock,GB
Attribute,Marshmello,Silence,180822,3.01,FALSE,2017,80,0.52,0.761,4,-3.093,1,0.0853,0.256,4.96E-06,0.17,0.286,141.971,"pop, Dance/Electronic",pop,US
Attribute,5 Seconds of Summer,Youngblood,203417,3.23,FALSE,2018,69,0.596,0.854,7,-5.114,0,0.463,0.0169,0,0.124,0.152,120.274,pop,pop,AU
Attribute,Liam Payne,For You (Fifty Shades Freed) (& Rita Ora),245453,4.05,FALSE,2018,62,0.541,0.787,2,-4.618,0,0.0331,0.0167,0,0.157,0.2,113,pop,pop,GB
Attribute,NF,Let You Down,212120,3.32,FALSE,2017,79,0.662,0.714,5,-5.68,0,0.121,0.312,0,0.179,0.464,147.997,"hip hop, pop",hip hop,US
Attribute,XXXTENTACION,changes,121886,2.02,FALSE,2018,79,0.669,0.308,11,-10.068,1,0.029,0.883,0,0.0984,0.52,64.934,hip hop,hip hop,US
Attribute,Maluma,CorazÃ³n (feat. Nego do Borel),184720,3.05,FALSE,2018,69,0.722,0.738,9,-6.073,0,0.247,0.328,1.47E-05,0.198,0.748,198.075,latin,latin,CO
Attribute,Cardi B,Bodak Yellow,223712,3.44,TRUE,2018,72,0.926,0.703,11,-6.337,0,0.103,0.0659,0,0.231,0.485,125.022,"hip hop, pop",hip hop,US
Attribute,Lil Baby,Yes Indeed,142273,2.22,TRUE,2018,79,0.963,0.346,5,-9.309,0,0.53,0.0355,0,0.108,0.562,119.957,hip hop,hip hop,US
Attribute,Jonas Blue,Rise,194407,3.14,FALSE,2018,70,0.687,0.785,1,-4.65,1,0.0333,0.327,0,0.203,0.655,106.046,"pop, Dance/Electronic",pop,GB
Attribute,David Guetta,Flames,194680,3.15,FALSE,2018,59,0.631,0.649,5,-5.892,0,0.0385,0.0817,3.80E-06,0.0934,0.421,93.95,"hip hop, pop, Dance/Electronic",hip hop,FR
Attribute,Ozuna,Vaina Loca,176133,2.56,FALSE,2018,72,0.754,0.805,6,-4.249,1,0.0752,0.315,0,0.203,0.555,93.982,latin,latin,PR
Attribute,Charlie Puth,How Long,200853,3.21,FALSE,2018,72,0.845,0.561,1,-5.253,0,0.0778,0.211,3.49E-06,0.0383,0.811,109.974,pop,pop,US
Attribute,Post Malone,Better Now,231266,3.51,TRUE,2018,80,0.68,0.578,10,-5.804,1,0.04,0.331,0,0.135,0.341,145.038,hip hop,hip hop,US
Attribute,BlocBoy JB,Look Alive (feat. Drake),181263,3.01,TRUE,2018,73,0.922,0.581,10,-7.495,1,0.27,0.00104,5.86E-05,0.105,0.595,140.022,"hip hop, pop",hip hop,US
Attribute,Eminem,River (feat. Ed Sheeran),221013,3.41,TRUE,2017,72,0.748,0.749,8,-5.916,0,0.516,0.142,0,0.0713,0.659,90.09,hip hop,hip hop,US
Attribute,Marshmello,Happier,214289,3.34,FALSE,2018,82,0.687,0.792,5,-2.749,1,0.0452,0.191,0,0.167,0.671,100.015,"pop, Dance/Electronic",pop,US
Attribute,Dean Lewis,Be Alright,196373,3.16,TRUE,2018,79,0.553,0.586,11,-6.319,1,0.0362,0.697,0,0.0813,0.443,126.684,pop,pop,AU
Attribute,Charlie Puth,Done for Me (feat. Kehlani),180493,3,FALSE,2018,67,0.856,0.632,6,-3.692,0,0.074,0.193,0,0.0688,0.697,112.009,pop,pop,US
Attribute,Migos,Stir Fry,190288,3.1,TRUE,2018,72,0.817,0.816,2,-5.402,1,0.269,0.00263,0,0.159,0.508,181.982,"hip hop, pop",hip hop,US
Attribute,YG,"BIG BANK (feat. 2 Chainz, Big Sean, Nicki Minaj)",237240,3.57,TRUE,2018,68,0.745,0.346,1,-7.709,1,0.331,0.00552,0,0.0881,0.112,203.911,"hip hop, pop",hip hop,US
Attribute,Drake,In My Feelings,217925,3.38,TRUE,2018,75,0.835,0.626,1,-5.833,1,0.125,0.0589,6.00E-05,0.396,0.35,91.03,"hip hop, pop, R&B",hip hop,CA
Attribute,Charlie Puth,The Way I Am,186080,3.06,FALSE,2018,64,0.755,0.769,10,-5.658,0,0.186,0.314,2.38E-06,0.0628,0.642,114.966,pop,pop,US
Attribute,Reik,Me Niego (feat. Ozuna & Wisin),221653,3.42,FALSE,2018,1,0.777,0.779,0,-4.449,0,0.0972,0.0543,0,0.636,0.768,94.023,"pop, latin",pop,MX
Attribute,benny blanco,Eastside (with Halsey & Khalid),173799,2.54,FALSE,2018,75,0.56,0.68,6,-7.648,0,0.321,0.555,0,0.116,0.319,89.391,"hip hop, pop",hip hop,US
Attribute,Luis Fonsi,Ã‰chame La Culpa,173720,2.54,FALSE,2017,62,0.733,0.892,0,-3.641,1,0.0417,0.0376,0,0.137,0.675,95.989,"pop, latin",pop,PR
Attribute,MK,17,196489,3.16,FALSE,2017,65,0.703,0.832,0,-7.202,0,0.0689,0.00149,0.127,0.0696,0.667,122.029,"pop, Dance/Electronic",pop,US
Attribute,Rita Ora,Anywhere,215064,3.35,FALSE,2017,63,0.628,0.797,11,-3.953,0,0.0596,0.0364,0,0.104,0.321,106.93,"hip hop, pop, Dance/Electronic",hip hop,GB
Attribute,Banx & Ranx,Answerphone (feat. Yxng Bane),190920,3.11,FALSE,2018,56,0.671,0.834,1,-3.928,0,0.0885,0.0387,0,0.454,0.454,113.021,Dance/Electronic,Dance/Electronic,CA
Attribute,Ella Mai,Trip,213993,3.34,FALSE,2018,72,0.477,0.61,11,-5.628,0,0.144,0.225,0,0.107,0.358,79.882,"hip hop, pop, R&B",hip hop,GB
Attribute,Daddy Yankee,Dura,200480,3.2,FALSE,2018,71,0.783,0.84,1,-3.416,1,0.051,0.174,0,0.412,0.839,95.001,latin,latin,PR
Attribute,DJ Khaled,No Brainer,260000,4.2,TRUE,2018,67,0.552,0.76,0,-4.706,1,0.342,0.0733,0,0.0865,0.639,135.702,"hip hop, pop",hip hop,US
Attribute,Bruno Mars,Finesse - Remix; feat. Cardi B,217288,3.37,FALSE,2017,74,0.704,0.859,5,-4.877,0,0.0996,0.0185,0,0.0215,0.926,105.115,pop,pop,US
Attribute,Hugh Jackman,The Greatest Show,302146,5.02,FALSE,2017,72,0.417,0.824,11,-7.36,0,0.105,0.000239,0.0545,0.0725,0.4,157.92,easy listening,easy listening,AU
Attribute,Halsey,Bad At Love,181279,3.01,FALSE,2017,72,0.675,0.751,0,-3.539,1,0.0296,0.0604,0,0.0893,0.612,118.384,"pop, Dance/Electronic",pop,US
Attribute,Drake,I'm Upset,214466,3.34,TRUE,2018,68,0.899,0.586,11,-7.866,0,0.343,0.279,0,0.0836,0.492,150.002,"hip hop, pop, R&B",hip hop,CA
Attribute,Camila Cabello,Never Be the Same,226973,3.47,FALSE,2018,74,0.637,0.713,0,-4.333,1,0.0747,0.181,0.000637,0.137,0.243,129.923,pop,pop,US
Attribute,M.O,Bad Vibe,214253,3.34,FALSE,2018,54,0.813,0.701,10,-4.428,1,0.0449,0.178,0,0.0962,0.758,110.009,"pop, Dance/Electronic",pop,JP
Attribute,Dua Lipa,IDGAF,217946,3.38,TRUE,2017,78,0.836,0.544,7,-5.975,1,0.0943,0.0403,0,0.0824,0.51,97.028,pop,pop,GB
Attribute,Bazzi,Mine,131064,2.11,TRUE,2018,75,0.71,0.789,4,-3.874,1,0.0722,0.0161,2.77E-06,0.451,0.717,142.929,"pop, Dance/Electronic",pop,US
Attribute,Lauv,I Like Me Better,197436,3.17,FALSE,2018,81,0.752,0.505,9,-7.621,1,0.253,0.535,2.55E-06,0.104,0.419,91.97,"pop, Dance/Electronic",pop,US
Attribute,The Chainsmokers,This Feeling,197946,3.18,FALSE,2018,73,0.575,0.571,1,-7.906,1,0.0439,0.0558,0,0.0912,0.449,105.049,"pop, Dance/Electronic",pop,US
Attribute,Maroon 5,Girls Like You (feat. Cardi B) - Cardi B Version,235545,3.56,TRUE,2018,73,0.851,0.541,0,-6.825,1,0.0505,0.568,0,0.13,0.448,124.959,pop,pop,US
Attribute,Khalid,Love Lies (with Normani),201707,3.22,FALSE,2018,73,0.708,0.648,6,-5.626,1,0.0449,0.0956,0,0.134,0.338,143.955,"pop, R&B",pop,US
Attribute,Drake,Nice For What,210746,3.31,TRUE,2018,77,0.585,0.909,8,-6.474,1,0.0707,0.0891,9.70E-05,0.119,0.758,93.372,"hip hop, pop, R&B",hip hop,CA
Attribute,Kendrick Lamar,LOVE. FEAT. ZACARI.,213400,3.33,TRUE,2017,80,0.8,0.585,10,-7.343,1,0.0924,0.264,0,0.153,0.779,126.058,hip hop,hip hop,US
Attribute,Post Malone,Psycho (feat. Ty Dolla $ign),221440,3.41,TRUE,2018,77,0.75,0.56,8,-8.094,1,0.105,0.546,0,0.111,0.459,140.06,hip hop,hip hop,US
Attribute,Lil Nas X,Old Town Road - Remix,157066,2.37,FALSE,2019,79,0.878,0.619,6,-5.56,1,0.102,0.0533,0,0.113,0.639,136.041,"hip hop, pop",hip hop,US
Attribute,Billie Eilish,bad guy,194087,3.14,FALSE,2019,83,0.701,0.425,7,-10.965,1,0.375,0.328,0.13,0.1,0.562,135.128,"pop, Dance/Electronic",pop,US
Attribute,Shawn Mendes,SeÃ±orita,190799,3.11,FALSE,2019,78,0.759,0.548,9,-6.049,0,0.029,0.0392,0,0.0828,0.749,116.967,pop,pop,CA
Attribute,Ariana Grande,7 rings,178626,2.59,TRUE,2019,83,0.778,0.317,1,-10.732,0,0.334,0.592,0,0.0881,0.327,140.048,pop,pop,US
Attribute,Post Malone,Sunflower - Spider-Man: Into the Spider-Verse,157560,2.38,FALSE,2019,79,0.755,0.522,2,-4.368,1,0.0575,0.533,0,0.0685,0.925,89.96,hip hop,hip hop,US
Attribute,Gesaffelstein,Lost in the Fire (feat. The Weeknd),202093,3.22,TRUE,2019,84,0.658,0.671,2,-12.21,1,0.0363,0.0933,0.000927,0.115,0.166,100.966,Dance/Electronic,Dance/Electronic,FR
Attribute,Halsey,Without Me,201660,3.22,TRUE,2018,77,0.752,0.488,6,-7.05,1,0.0705,0.297,9.11E-06,0.0936,0.533,136.041,"pop, Dance/Electronic",pop,US
Attribute,Regard,Ride It,157605,2.38,FALSE,2019,81,0.88,0.751,7,-4.258,0,0.0874,0.177,6.43E-05,0.106,0.884,117.948,"pop, Dance/Electronic",pop,US
Attribute,Lady Gaga,Shallow,215733,3.36,FALSE,2018,82,0.572,0.385,7,-6.362,1,0.0308,0.371,0,0.231,0.323,95.799,pop,pop,US
Attribute,Mark Ronson,Nothing Breaks Like a Heart (feat. Miley Cyrus),217466,3.37,FALSE,2018,79,0.601,0.794,7,-5.844,0,0.0671,0.00987,1.36E-06,0.388,0.244,114.066,pop,pop,GB
Attribute,Lewis Capaldi,Someone You Loved,182160,3.02,FALSE,2019,84,0.501,0.405,1,-5.679,1,0.0319,0.751,0,0.105,0.446,109.891,pop,pop,GB
Attribute,Jax Jones,All Day And Night,169303,2.49,FALSE,2019,60,0.585,0.782,1,-4.101,0,0.0897,0.269,0,0.156,0.521,121.908,"hip hop, pop, Dance/Electronic",hip hop,GB
Attribute,Mustard,Pure Water (with Migos),192470,3.12,TRUE,2019,75,0.682,0.559,0,-5.545,1,0.127,0.174,0,0.344,0.137,202.015,"hip hop, pop",hip hop,US
Attribute,Kodak Black,ZEZE (feat. Travis Scott & Offset),228759,3.49,TRUE,2018,77,0.861,0.603,8,-5.788,0,0.176,0.0521,0,0.0924,0.504,98.043,hip hop,hip hop,US
Attribute,Daddy Yankee,Con Calma,193226,3.13,FALSE,2019,79,0.737,0.86,8,-2.652,0,0.0593,0.11,1.94E-06,0.0574,0.656,93.989,latin,latin,PR
Attribute,Alec Benjamin,Let Me Down Slowly,169353,2.49,FALSE,2018,82,0.652,0.557,1,-5.714,0,0.0318,0.74,0,0.124,0.483,150.073,"rock, pop, Dance/Electronic",rock,US
Attribute,BLACKPINK,Kill This Love,189052,3.09,FALSE,2019,1,0.738,0.861,2,-4.141,1,0.237,0.318,0.00182,0.325,0.58,131.98,pop,pop,KR
Attribute,Offset,Clout (feat. Cardi B),205803,3.26,TRUE,2019,68,0.919,0.622,1,-7.384,1,0.0997,0.228,4.24E-06,0.122,0.424,140.022,"hip hop, pop",hip hop,US
Attribute,MEDUZA,Piece Of Your Heart,152913,2.33,FALSE,2019,75,0.677,0.744,10,-6.806,0,0.0295,0.0404,0.00016,0.074,0.631,124.08,"pop, Dance/Electronic",pop,IT
Attribute,Ed Sheeran,Antisocial (with Travis Scott),161746,2.42,FALSE,2019,63,0.716,0.823,5,-5.313,0,0.0495,0.132,0,0.361,0.91,151.957,pop,pop,GB
Attribute,Travis Scott,SICKO MODE,312820,5.13,TRUE,2018,81,0.834,0.73,8,-3.714,1,0.222,0.00513,0,0.124,0.446,155.008,"hip hop, Dance/Electronic",hip hop,US
